master_cpd_id,r2,cpd_name
660993,-0.0548761928277268,R428
374755,-0.056831038477522376,bendamustine
347812,-0.05708333311959248,CHIR-99021
660890,-0.057337530485413145,BRD-M00053801
199337,-0.057435991707698954,DBeQ
640366,-0.05784419959295577,WZ4002
404070,-0.05832192889319008,BRD1835
660411,-0.05837884731963874,KU-60019
660331,-0.05890661937197974,NVP-231
42319,-0.05986447340977787,BRD-K26531177
660084,-0.06022477436263072,IPR-456
375594,-0.06062351651093847,NSC632839
660119,-0.06144627272318577,VU0155056
688962,-0.06341865843596288,PF-4800567 hydrochloride
679844,-0.0635368664919946,palmostatin B
418163,-0.0644893812581758,BRD8958
375596,-0.0659502430726858,pifithrin-mu
609332,-0.0710522594188108,GANT-61
375435,-0.07139248465264544,necrostatin-1
666910,-0.07186351505008233,marinopyrrole A
609674,-0.07256373290404672,CHM-1
622911,-0.07367627742849811,BMS-345541
660201,-0.07375324672735577,necrostatin-7
660779,-0.07427042444591678,KX2-391
606144,-0.07430467783856373,ZSTK474
417415,-0.0755825002525207,cyanoquinoline 11
660432,-0.07657601004484675,WP1130
687579,-0.07681694435937145,MLN2480
50737,-0.0783273118799979,tacrolimus
411726,-0.07977490052333407,16-beta-bromoandrosterone
606034,-0.08008443691150638,veliparib
609062,-0.08276969910761571,SCH-529074
50769,-0.08308005154064727,staurosporine
417982,-0.08338451328579607,BIBR-1532
660227,-0.08441249298241038,JW-480
668858,-0.08471293862618975,SR8278
45093,-0.0853931204546933,N9-isopropylolomoucine
28172,-0.0886304869067391,parbendazole
362063,-0.08894167176331709,QW-BI-011
26914,-0.0903326564102811,trifluoperazine
52576,-0.09166244204898992,purmorphamine
340501,-0.09201538014809563,VX-680
660304,-0.09227750366933754,XL765
52133,-0.09535414877368291,PD 153035
417818,-0.0967309137465614,tamatinib
606471,-0.09762703924632414,GSK1059615
464458,-0.0980193468856239,tandutinib
660412,-0.09881858761310092,BIRB-796
32653,-0.09933499727283746,niclosamide
411824,-0.09939845829713252,CAY10594
46792,-0.10011254991247862,importazole
596868,-0.10077498897716557,BRD-K50799972
636425,-0.10780053129971015,erismodegib
425733,-0.11001159811868555,BRD-K71781559
3588,-0.11315963235270066,BRD4132
30371,-0.1147498079022657,methotrexate
26972,-0.11762508956891696,tamoxifen
58339,-0.11765048529468132,KU-55933
411719,-0.1208922022474761,PF-750
659993,-0.12092820800466667,tigecycline
687715,-0.12195717917535016,BRD-K42260513
609639,-0.12330260507268136,AZD8055
628614,-0.12356497079412762,WZ8040
609121,-0.12378525385959774,darinaparsin
660073,-0.1316972631532877,PF-543
622913,-0.13688410996312378,CAY10576
660778,-0.13701784019191218,birinapant
687578,-0.13905762329324936,dinaciclib
58455,-0.14060169250692156,AM-580
676728,-0.14316830499353123,JW-74
435086,-0.14328090041455782,BRD-K04800985
608999,-0.14438434769020353,EX-527
606136,-0.14880666089053785,cediranib
182395,-0.16338825140633173,NSC30930
411832,-0.16404941699657533,PAC-1
609058,-0.16806890657950668,NPC-26
96171,-0.1701363150308472,ML031
1788,-0.1754644258334555,CIL55
26874,-0.17597728307943802,azacitidine
411774,-0.18487193984121933,neopeltolide
609056,-0.19646822030561703,ELCPK
431987,-0.2034453043256864,BRD-K48334597
255961,-0.204701637174391,ML083
594663,-0.22240495200196136,PRIMA-1-Met
410270,-0.2270388979641614,BRD-K13999467
411827,-0.2315113207531319,Compound 1541A
660342,-0.2430225923428561,BRD-A05715709
687694,-0.2562321945753243,istradefylline
635882,-0.2651492069907995,SGX-523
351043,-0.2675432575106211,temozolomide
660985,-0.2786843871098303,pitstop2
438345,-0.28835065136180005,BRD-K01737880
411716,-0.28977444932324664,AGK-2
411734,-0.3242862654722924,NSC 74859
688138,-0.3258426152843303,SZ4TA2
23256,-0.3641434199821786,betulinic acid
608062,-0.3702442356698533,BRD8899
411727,-0.39273205485040763,PRL-3 inhibitor I
635576,-0.3938939020584526,UNC0321
463198,-0.40364783652404607,BRD-K37390332
402775,-0.415396963934484,BRD-K14844214
687661,-0.4301786587502908,BRD-K51831558
416777,-0.4381417983180036,SJ-172550
661033,-0.4691166832396152,A-804598
375487,-0.4931404211495162,AC55649
659226,-0.5135205975953608,VAF-347
659371,-0.6146218712346198,BRD-A02303741
410703,-0.6413706225218505,BRD-K96970199
660085,-0.6454082684067617,KH-CB19
600054,-0.8008424107021351,BRD-K17060750
682993,-0.8595181741617601,JW-55
44554,-1.0053628504736303,C6-ceramide
27872,-1.1328308378882894,sildenafil
609681,-1.186122574742318,QS-11
446716,-4.6778616914801745,BRD-K34485477
660064,-4.906902461402721,BRD-K34099515
